"question","source","source_url","why_include"
"Should the UN pass a declaration of rights extending beyond humans?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Clean moral-scope question with disagreement about rights, legal standing, animals, ecosystems, and future minds."
"Why are most intellectuals left-wing?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Engaging sociology-of-belief prompt; strong answers can invoke selection effects, status, institutions, temperament, and historical contingency."
"Can there be freedom without rules?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","A simple question that forces a real theory of liberty, coordination, constraint, and agency."
"Is there market failure in interdisciplinary academia?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Concrete institutional-design question with room for non-obvious answers about incentives, fields, peer review, and translation costs."
"Are high energy physics experiments value for money?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Good opportunity-cost prompt that avoids the worse framing of prestige science versus immediate aid."
"You get to decide the demographic composition and institutional design of the first Mars colony of 10,000 people. What would it look like and why?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Forces explicit institutional design under unusual constraints; likely to reveal deep priors about governance, selection, and culture."
"Should the publication of potentially looted antiquities be permitted if it contributes to scholarly knowledge?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Sharp conflict between knowledge production, incentives, restitution, and complicity."
"Is forecasting a realistic possibility in the social sciences?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Directly tests calibration, reflexivity, prediction markets, model limits, and the scope of social science."
"Should we tax the poor?","General 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf","Provocative but precise enough if answered as gross taxation, net transfers, state capacity, dignity, and incidence."
"Should anonymous posting online be forbidden?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Live governance question with serious tradeoffs between speech, accountability, safety, and dissidence."
"Do elections ever solve problems?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Compact but deep: can be answered through legitimacy, information aggregation, accountability, and institutional failure."
"What qualifies a lawmaker?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Good constitutional-design question; invites disagreement about expertise, representation, consent, and competence."
"When is laissez-faire the right answer?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Cleanly asks for boundary conditions rather than ideology; strong answers can be empirical and institutional."
"Should asylum seekers be granted the right to work?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Practical policy question with welfare, incentives, dignity, labor-market, and state-capacity angles."
"Do we still need cash?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Simple surface, rich answer-space: privacy, resilience, inclusion, monetary control, crime, and surveillance."
"Should we have 100% inheritance tax?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Forces a non-cliche answer about luck, family partiality, incentives, evasion, and state legitimacy."
"Should ethics or profits guide investors?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Good because the strongest answers distinguish fiduciary duty, externalities, impact, signaling, and counterfactual ownership."
"Is austerity ever a sound policy?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Clean economics-and-politics prompt where serious answers can disagree on debt, confidence, inflation, and distribution."
